SDP_Id,MSISDN_START,MSISDN_END
meylvvmsdp06a,44032900,44032999
meylvvmsdp06a,44033000,44033099
meylvvmsdp06a,44033100,44033199
meylvvmsdp06a,44033200,44033299
meylvvmsdp06a,44033300,44033399
meylvvmsdp06a,44033400,44033499
meylvvmsdp06a,44033500,44033599
meylvvmsdp06a,44033600,44033699
meylvvmsdp06a,44033700,44033799
meylvvmsdp06a,44033800,44033899
meylvvmsdp06a,44033900,44033999
meylvvmsdp06a,44034000,44034099
meylvvmsdp06a,44034100,44034199
meylvvmsdp06a,44034200,44034299
meylvvmsdp06a,44034300,44034399
meylvvmsdp06a,44034400,44034499
meylvvmsdp06a,44034500,44034599
meylvvmsdp06a,44034600,44034699
meylvvmsdp06a,44034700,44034799
meylvvmsdp06a,44034800,44034899
meylvvmsdp06a,44034900,44034999
meylvvmsdp06a,44035000,44035099
meylvvmsdp06a,44035100,44035199
meylvvmsdp06a,44035200,44035299
meylvvmsdp06a,44035300,44035399
meylvvmsdp06a,44035400,44035499
meylvvmsdp06a,44035500,44035599
meylvvmsdp06a,44035600,44035699
meylvvmsdp06a,44035700,44035799
meylvvmsdp06a,44035800,44035899
meylvvmsdp06a,44035900,44035999
meylvvmsdp06a,44036000,44036099
meylvvmsdp06a,44036100,44036199
meylvvmsdp06a,44036200,44036299
meylvvmsdp06a,44036300,44036399
meylvvmsdp06a,44036400,44036499
meylvvmsdp06a,44036500,44036599
meylvvmsdp06a,44036600,44036699
meylvvmsdp06a,44036700,44036799
meylvvmsdp06a,44036800,44036899
meylvvmsdp06a,44036900,44036999
meylvvmsdp06a,44037000,44037099
meylvvmsdp06a,44037100,44037199
meylvvmsdp06a,44037200,44037299
meylvvmsdp06a,44037300,44037399
meylvvmsdp06a,44037400,44037499
meylvvmsdp06a,44037500,44037599
meylvvmsdp06a,44037600,44037699
meylvvmsdp06a,44037700,44037799
meylvvmsdp06a,44037800,44037899
meylvvmsdp06a,44037900,44037999
meylvvmsdp06a,44038000,44038099
meylvvmsdp06a,44038100,44038199
meylvvmsdp06a,44038200,44038299
meylvvmsdp06a,44038300,44038399
meylvvmsdp06a,44038400,44038499
meylvvmsdp06a,44038500,44038599
meylvvmsdp06a,44038600,44038699
meylvvmsdp06a,44038700,44038799
meylvvmsdp06a,44038800,44038899
meylvvmsdp06a,44038900,44038999
meylvvmsdp06a,44039000,44039099
meylvvmsdp06a,44039100,44039199
meylvvmsdp06a,44039200,44039299
meylvvmsdp06a,44039300,44039399
meylvvmsdp06a,44039400,44039499
meylvvmsdp06a,44039500,44039599
meylvvmsdp06a,44039600,44039699
meylvvmsdp06a,44039700,44039799
meylvvmsdp06a,44039800,44039899
meylvvmsdp06a,44039900,44039999
meylvvmsdp06a,44040000,44040099
meylvvmsdp06a,44040100,44040199
meylvvmsdp06a,44040200,44040299
meylvvmsdp06a,44040300,44040399
meylvvmsdp06a,44040400,44040499
meylvvmsdp06a,44040500,44040599
meylvvmsdp06a,44040600,44040699
meylvvmsdp06a,44040700,44040799
meylvvmsdp06a,44040800,44040899
meylvvmsdp06a,44040900,44040999
meylvvmsdp06a,44041000,44041099
meylvvmsdp06a,44041100,44041199
meylvvmsdp06a,44041200,44041299
meylvvmsdp06a,44041300,44041399
meylvvmsdp06a,44041400,44041499
meylvvmsdp06a,44041500,44041599
meylvvmsdp06a,44041600,44041699
meylvvmsdp06a,44041700,44041799
meylvvmsdp06a,44041800,44041899
meylvvmsdp06a,44041900,44041999
meylvvmsdp06a,44042000,44042099
meylvvmsdp06a,44042100,44042199
meylvvmsdp06a,44042200,44042299
meylvvmsdp06a,44042300,44042399
meylvvmsdp06a,44042400,44042499
meylvvmsdp06a,44042500,44042599
meylvvmsdp06a,44042600,44042699
meylvvmsdp06a,44042700,44042799
meylvvmsdp06a,44042800,44042899
meylvvmsdp06a,44042900,44042999
meylvvmsdp06a,44043000,44043099
meylvvmsdp06a,44043100,44043199
meylvvmsdp06a,44043200,44043299
meylvvmsdp06a,44043300,44043399
meylvvmsdp06a,44043400,44043499
meylvvmsdp06a,44043500,44043599
meylvvmsdp06a,44043600,44043699
meylvvmsdp06a,44043700,44043799
meylvvmsdp06a,44043800,44043899
meylvvmsdp06a,44043900,44043999
